北京	bj
天津	tj
石家庄	sjz
唐山	tangshan
秦皇岛	qinhuangdao
邯郸	handan
邢台	xingtai
保定	baoding
廊坊	langfang
太原	ty
大同	datong
晋中	jinzhong
呼和浩特	nmg
包头	baotou
鄂尔多斯	eerduosi
沈阳	sy
大连	dl
鞍山	anshan
抚顺	fushun
长春	cc
吉林	jilin
延边	yanbian
哈尔滨	hrb
佳木斯	jiamusi
牡丹江	mudanjiang
上海	sh
南京	nj
无锡	wx
徐州	xuzhou
常州	changzhou
苏州	su
南通	nantong
连云港	lianyungang
淮安	huaian
盐城	yancheng
扬州	yangzhou
镇江	zhenjiang
泰州	jstaizhou
杭州	hz
宁波	nb
温州	wenzhou
嘉兴	jiaxing
湖州	huzhou
绍兴	shaoxing
金华	jinhua
台州	zjtaizhou
合肥	hf
芜湖	wuhu
马鞍山	maanshan
福州	fz
厦门	xm
莆田	putian
泉州	quanzhou
漳州	zhangzhou
南昌	nc
九江	jiujiang
赣州	ganzhou
济南	jn
青岛	qd
淄博	zibo
枣庄	zaozhuang
东营	dongying
烟台	yantai
潍坊	weifang
济宁	jining
泰安	taian
威海	wei
日照	rizhao
临沂	linyi
德州	dezhou
聊城	liaocheng
滨州	binzhou
郑州	zz
开封	kaifeng
洛阳	luoyang
焦作	jiaozuo
商丘	shangqiu
武汉	wh
宜昌	yichang
襄阳	xiangyang
长沙	cs
株洲	zhuzhou
衡阳	hengyang
广州	gz
深圳	sz
珠海	zhuhai
佛山	foshan
肇庆	zhaoqing
惠州	huizhou
清远	qingyuan
东莞	dg
中山	zhongshan
云浮	yunfu
南宁	nn
柳州	liuzhou
海口	hn
重庆	cq
成都	cd
德阳	deyang
绵阳	mianyang
内江	neijiang
贵阳	gy
遵义	zunyi
毕节	bijie
昆明	km
玉溪	yuxi
西安	xa
宝鸡	baoji
咸阳	xianyang
兰州	lz
白银	baiyin
银川	yc
